,tid,id,question
284,tttt----93,tttt----93----14-2-1 ,中铁工业在2021年签订了哪些金额较大的重大合同？请列出前两大合同的发布日期(xxxx-xx-xx的格式)，合同标的和合同金额(四舍五入保留两位小数)。
285,tttt----93,tttt----93----14-2-2 ,中铁工业2021年重大合同的季度数量如何？
286,tttt----93,tttt----93----14-2-3 ,"分析2021年重大合同的交易对手特征：
1. 重复交易的客户数量及其合同金额（保留两位小数）以及数量和金额占总量的占比（四舍五入保留两位小数，并以百分比形式表示）？
2. 单一交易对手的合同总金额，最高是谁，总金额是多少（保留两位小数），全部交易对手合同总金额占比（四舍五入保留两位小数，并以百分比形式表示）？"
287,tttt----94,tttt----94----15-2-1 ,华峰化学在2019年发生了哪些舆情事件？请列出事件发生时间(YYYY-MM-DD)、事件名称和情感方向。
288,tttt----94,tttt----94----15-2-2 ,在上述重大事件发生期间，华峰化学是否出现过停牌？如有，请列出停牌起止日期(YYYY-MM-DD)和具体原因。
289,tttt----94,tttt----94----15-2-3 ,2019年期间，华峰化学发生的最大比例股权变动是在哪一天（xxxx-xx-xx）？这次变动前后5个交易日的股价累计涨跌幅是多少？（保留2位小数）
290,tttt----95,tttt----95----16-2-1 ,大北农在2019年第一季度末的资产负债率是多少？其中流动资产和非流动资产分别占总资产的比例是多少？（四舍五入保留2位小数）
291,tttt----95,tttt----95----16-2-2 ,基于上述资产结构特征，该公司在2019年为其子公司提供担保的总金额是多少？(保留2位小数)最长担保期限为多少个月？（保留整数）
292,tttt----95,tttt----95----16-2-3 ,针对上述担保事项，公司在2019年召开的股东大会的具体日期以及参会股东所持表决权占公司总股本的比例是多少？(可以使用最近一次可查总股本的数据)（四舍五入保留2位小数）
293,tttt----96,tttt----96----17-2-1 ,梅花生物在2019年进行了几次股票回购？回购金额合计是多少？(四舍五入保留2位小数)
294,tttt----96,tttt----96----17-2-2 ,在上述回购计划中，最大单笔回购的具体时间(xxxx-xx-xx的格式)和金额是多少？(四舍五入保留2位小数)
295,tttt----96,tttt----96----17-2-3 ,该公司2019年的平均回购时间跨度是多少？(天为单位，2位小数)平均回购金额是多少？(四舍五入保留2位小数)
296,tttt----97,tttt----97----18-2-1 ,深科技在2021年12月24日的交易数据如何?具体包括收盘价、成交量、换手率，保留2位小数。
297,tttt----97,tttt----97----18-2-2 ,"基于上述交易数据，该股当日是否创出了近一周、近一月的新高?如果不是,最高价分别是多少?"
298,tttt----97,tttt----97----18-2-3 ,"结合该股当日的MACD指标(考虑成交量)以及均线排列情况,从技术面分析其走势特征。"
299,tttt----98,tttt----98----19-2-1 ,安井食品在2019年第一季度的最高价、最低价分别是多少？成交量最大的一天是哪天（XXXX-XX-XX）？
300,tttt----98,tttt----98----19-2-2 ,在上述成交量最大的那天，该股票是否创下了近一周、近一月或近一季度的新高？如果是，分别创下了哪些新高？
301,tttt----98,tttt----98----19-2-3 ,分析该股票2019年1月份的成交量特征：哪几天的成交量超过月均量的2倍？具体是多少比例？这些放量日的收盘价相比前一日分别上涨/下跌了多少？(四舍五入保留两位小数)
302,tttt----99,tttt----99----20-2-1 ,美年健康在2019年发生的股权质押中，质押比例最大的一笔是哪个股东质押给了谁？质押股数和占总股本比例是多少，保留4位小数？
303,tttt----99,tttt----99----20-2-2 ,在上述最大比例质押发生时，该公司的短期借款余额是多少？(保留两位小数)
304,tttt----99,tttt----99----20-2-3 ,该公司2019年全年累计发生几笔股权质押？质押融资总额占其年末总资产的比例是多少？(保留两位小数)
305,tttt----100,tttt----100----21-2-1 ,横店东磁在2019年1月份进行了多少次投资者关系活动？这些活动中参与机构最多的一次活动发生在哪天(xxxx-xx-xx的格式)，有多少家机构参与？
306,tttt----100,tttt----100----21-2-2 ,该公司高管的年度薪酬总额是多少？一年后呢？变化比例是(四舍五入保留到小数点两位)？
307,tttt----100,tttt----100----21-2-3 ,请结合该公司所属的概念板块，列出2021年该公司所属的各个概念板块的平均高管薪酬和投资者关系活动频次是多少？（四舍五入保留两位小数）
308,tttt----101,tttt----101----22-2-1 ,中直股份在2021年12月31日的总股本是多少？其中有限售条件的流通股占比是多少？(保留两位小数)
309,tttt----101,tttt----101----22-2-2 ,在这个时间点，该股票的境内自然人持股和境外自然人持股比例分别是多少？两者相差多少个百分点？(保留两位小数)
310,tttt----101,tttt----101----22-2-3 ,该股票属于哪些概念板块？在这些概念板块中，其他公司2021年12月31日的平均有限售股比例是多少？该股票是高于还是低于板块平均水平，偏离了多少个百分点？(保留两位小数)
